pri_sch,pri_sch_long,pri_sch_lat
NORTH SPRING PRIMARY SCHOOL,103.903202683028,1.38706146494859
COMPASSVALE PRIMARY SCHOOL,103.897812229905,1.39444529636566
HOUGANG PRIMARY SCHOOL,103.880805274557,1.37738245231461
MERIDIAN PRIMARY SCHOOL,103.934889078518,1.37552831658484
KRANJI PRIMARY SCHOOL,103.747362720939,1.39356050497104
LIANHUA PRIMARY SCHOOL,103.754165828711,1.35424191127295
JING SHAN PRIMARY SCHOOL,103.852132214306,1.37223290983498
ELIAS PARK PRIMARY SCHOOL,103.945128117139,1.37451269377776
CASUARINA PRIMARY SCHOOL,103.957020286115,1.37246063927999
SAINT ANTHONY'S PRIMARY SCHOOL,103.749251919049,1.36411948475833
JURONG PRIMARY SCHOOL,103.733156560251,1.34860020316068
DAZHONG PRIMARY SCHOOL,103.74847210784,1.3591797447277
CHANGKAT PRIMARY SCHOOL,103.952080114035,1.34023163951633
PASIR RIS PRIMARY SCHOOL,103.962807212116,1.37241870245531
FUHUA PRIMARY SCHOOL,103.736103745748,1.33650394789627
GUANGYANG PRIMARY SCHOOL,103.849453239895,1.34569011530238
BEDOK GREEN PRIMARY SCHOOL,103.937878976352,1.32344593287992
SAINT GABRIEL'S PRIMARY SCHOOL,103.862561037707,1.34947192653862
SAINT ANTHONY'S CANOSSIAN PRIMARY SCHOOL,103.941234868202,1.3347253730189
SPRINGDALE PRIMARY SCHOOL,103.889926221247,1.39467010299293
PAYA LEBAR METHODIST GIRLS' SCHOOL PRIMARY,103.884971343143,1.34947276268396
RADIN MAS PRIMARY SCHOOL,103.824188270373,1.27495823622634
SENGKANG GREEN PRIMARY SCHOOL,103.875217666486,1.39284606680477
GAN ENG SENG PRIMARY SCHOOL,103.815547410064,1.28559516494962
SEMBAWANG PRIMARY SCHOOL,103.821042374036,1.4450737155262
NORTHOAKS PRIMARY SCHOOL,103.814196981329,1.45660782030102
GEYLANG METHODIST SCHOOL PRIMARY,103.883845744916,1.31759126757284
ANGLO-CHINESE SCHOOL PRIMARY,103.835609732354,1.31837054523521
FAIRFIELD METHODIST SCHOOL PRIMARY,103.785438270044,1.30054082453424
EDGEFIELD PRIMARY SCHOOL,103.907847599114,1.40009139510996
GREENDALE PRIMARY SCHOOL,103.91233462071,1.39648195114256
HORIZON PRIMARY SCHOOL,103.913404855665,1.399550034492
OASIS PRIMARY SCHOOL,103.911120600638,1.40462413200793
NORTHSHORE PRIMARY SCHOOL,103.904416909742,1.41813803336667
FERNVALE PRIMARY SCHOOL,103.874445458032,1.39030227963797
FERN GREEN PRIMARY SCHOOL,103.880330305684,1.39726966050479
CANBERRA PRIMARY SCHOOL,103.815858858929,1.45125024371543
ENDEAVOUR PRIMARY SCHOOL,103.817436231731,1.45403837499301
CHUA CHU KANG PRIMARY SCHOOL,103.741832917421,1.37775890093367
CONCORD PRIMARY SCHOOL,103.736225440727,1.38000806197242
BEACON PRIMARY SCHOOL,103.773632022975,1.38394936211823
BUKIT PANJANG PRIMARY SCHOOL,103.769374904025,1.37362179302436
GREENRIDGE PRIMARY SCHOOL,103.767794469258,1.3858892193692
KEMING PRIMARY SCHOOL,103.756449399351,1.34552849960874
BOON LAY GARDEN PRIMARY SCHOOL,103.713280889452,1.34317853793318
