mrt,mrt_long,mrt_lat
TELOK BLANGAH,103.809761611219,1.27070647717762
LABRADOR PARK,103.802631578766,1.27225417749656
WOODLANDS,103.787938777173,1.43605761708128
BENDEMEER,103.862977620945,1.31367252847691
CANBERRA,103.829702590959,1.44307664075699
DHOBY GHAUT,103.846113677951,1.29870132536119
ROCHOR,103.852769428884,1.30385218527656
SEMBAWANG,103.820046140211,1.44905082158502
HAVELOCK,103.833585838226,1.28850523975311
HAW PAR VILLA,103.781752725064,1.28257135772488
PASIR PANJANG,103.791350313288,1.27621352233766
KENT RIDGE,103.784572738173,1.29353349887123
CLEMENTI,103.765191452888,1.31511625277378
TUAS WEST,103.639616648771,1.32998504653102
DOVER,103.778637841909,1.31140529320963
MOUNT PLEASANT,103.83518858199,1.32856455460666
QUEENSTOWN,103.806077155982,1.29455085184931
COMMONWEALTH,103.798228523336,1.30250199924325
PAYA LEBAR,103.892260753884,1.3172473854035
CITY HALL,103.852585580366,1.29293672227779
LORONG CHUAN,103.864151938651,1.35161217074555
CHINESE GARDEN,103.732596738363,1.34235282081401
REDHILL,103.81674097205,1.28963453412887
TIONG BAHRU,103.827445112419,1.28610253615775
WOODLANDS SOUTH,103.79326432221,1.42739605281442
BISHAN,103.84914026532,1.35131580146658
FORT CANNING,103.844331362465,1.29248194822996
BUGIS,103.855706730933,1.30046508509717
BRAS BASAH,103.850667371637,1.29686168649656
ESPLANADE,103.855081226245,1.2936577245386
BENCOOLEN,103.850353762717,1.29891843369422
UBI,103.899226655439,1.32997425973974
YISHUN,103.835005047246,1.42944308477331
KHATIB,103.832979908243,1.41738337009565
TUAS LINK,103.636991425128,1.34088242451105
WOODLANDS NORTH,103.785692682441,1.44829245259621
ORCHARD BOULEVARD,103.823868523249,1.30242224836722
TAMPINES EAST,103.9546344625,1.35619148271544
HOLLAND VILLAGE,103.796399122407,1.31224029631595
DAKOTA,103.889064718377,1.30854798388121
LAKESIDE,103.720949087456,1.34425911493819
LAVENDER,103.862767633888,1.30737781747063
JALAN BESAR,103.855295713435,1.3051713878069
SERANGOON,103.872771660431,1.35063361526525
FARRER PARK,103.853477716509,1.31190557325774
NEWTON,103.837984594021,1.3123189224097
LITTLE INDIA,103.849647059738,1.30680019696174
ORCHARD,103.831375000068,1.30304426265194
GREAT WORLD,103.833720837731,1.29394816169384
ALJUNIED,103.882906044385,1.3164326118157
NOVENA,103.843825618748,1.32044079120154
STEVENS,103.826024401924,1.32006555750626
TAN KAH KEE,103.807760304729,1.32555623519898
FARRER,103.807379214161,1.31743915158967
SIXTH AVENUE,103.796906838288,1.33085764536226
ANG MO KIO,103.84955809232,1.36993284962262
BUKIT BROWN,103.830689549849,1.33372888295973
BEDOK RESERVOIR,103.932234623286,1.33660782955099
MARSILING,103.774074641403,1.43252114855026
SIMEI,103.953377214378,1.34319707851829
EUNOS,103.903225807255,1.31978354916088
YIO CHU KANG,103.84494727118,1.38175587099132
XILIN,103.964902569595,1.32890694938858
MOUNTBATTEN,103.882528081052,1.30620190525331
BOON LAY,103.706064622772,1.33860405469845
MARINE TERRACE,103.9151067005,1.30666510344814
BAYSHORE,103.942307986645,1.31312248299118
PIONEER,103.697321608474,1.33758701106708
BEDOK,103.929984495066,1.32397996868158
TOA PAYOH,103.847502198048,1.33262928096888
BOON KENG,103.861569454156,1.31933570922514
TAI SENG,103.888389300191,1.33514150139202
GEYLANG BAHRU,103.871622627142,1.32130110228321
POTONG PASIR,103.869055656782,1.33137949021368
WOODLEIGH,103.87081830915,1.33919004519388
MATTAR,103.883247509542,1.32687671501334
MAYFLOWER,103.836567766945,1.37146318831015
KEMBANGAN,103.912947930851,1.3210381335934
KATONG PARK,103.886178949925,1.29783147778951
TANAH MERAH,103.946348600798,1.32718729074675
BEDOK SOUTH,103.94931120983,1.31668400658419
BEDOK NORTH,103.91797832995,1.33474211664091
UPPER CHANGI,103.961472788634,1.34173977444995
BUKIT GOMBAK,103.751790910733,1.35861159094192
HILLVIEW,103.767418254007,1.36234486803558
KOVAN,103.885064856353,1.36017917065237
HOUGANG,103.892380513029,1.37129226620797
BARTLEY,103.880177899184,1.34250117805245
MARYMOUNT,103.839423132332,1.348707263451
YEW TEE,103.747405150236,1.39753506936297
JOO KOON,103.678374996165,1.3277170408447
GUL CIRCLE,103.660530461345,1.31947090075208
TUAS CRESCENT,103.649078235627,1.32102695598684
BUKIT PANJANG,103.761535114929,1.37900211641036
ADMIRALTY,103.800990519771,1.44058856161847
CHANGI AIRPORT,103.98788356959,1.35747897447692
PUNGGOL,103.902072622229,1.40454653668991
KRANJI,103.762137459497,1.42508698073648
SPRINGLEAF,103.817856949947,1.39758106126824
PROMMENADE,103.859959311719,1.29381678750189
TUAS  DEPOT,103.639023145587,1.34220625292052
ONE NORTH,103.787412789536,1.29968953488969
MOUNBATTEN,103.882429929313,1.30617247159373
